"id","arquivo_txt","scope","uf","municipio","lei_numero","lei_nome","data","url_integra","fonte","tipo_lei","url_usada_extracao","caracteres_txt","sha256_txt","validacao","regiao","ano"
19,"19_estadual_rj_lei_no_5_361_2008.txt","estadual","RJ","","Lei nº 5.361/2008","Lei Estadual de Inovação do Rio de Janeiro","2008-12-29 00:00:00","https://www3.alerj.rj.gov.br/lotus_notes/default.asp?id=144&url=L3NjcHJvMTkyMy5uc2YvMThjMWRkNjhmOTZiZTNlNzgzMjU2NmVjMDAxOGQ4MzMvNGRiODA2YzczYTY1ZWY2MDAzMjU4NGNkMDA3N2VjNjE/T3BlbkRvY3VtZW50","Assembleia Legislativa do Rio de Janeiro (ALERJ)","marco_cti_inovacao","https://www3.alerj.rj.gov.br/lotus_notes/default.asp?id=144&url=L3NjcHJvMTkyMy5uc2YvMThjMWRkNjhmOTZiZTNlNzgzMjU2NmVjMDAxOGQ4MzMvNGRiODA2YzczYTY1ZWY2MDAzMjU4NGNkMDA3N2VjNjE/T3BlbkRvY3VtZW50",51414,"140ca1244f07cbd5836aacc67f176070b6e87949d3f8945a7cce306ac6e19efb","ok","Sudeste","2008"
20,"20_estadual_rn_lei_complementar_no_716_2022.txt","estadual","RN","","Lei Complementar nº 716/2022","Lei Estadual de Inovação do Rio Grande do Norte","2022-06-30 00:00:00","https://www.al.rn.leg.br/storage/legislacao/2022/fuwb1apu99ivp3tbqznl1c2shihdjk.pdf","Assembleia Legislativa do Rio Grande do Norte (ALRN)","marco_cti_inovacao","https://www.al.rn.leg.br/storage/legislacao/2022/fuwb1apu99ivp3tbqznl1c2shihdjk.pdf",115645,"6e227327d04c18ec6b953063053b5c842238531ef65850b40791597b1fcfb661","ok","Nordeste","2022"
21,"21_estadual_ro_lei_no_4_950_2021.txt","estadual","RO","","Lei nº 4.950/2021","Lei Estadual de Inovação de Rondônia","2021-01-11 00:00:00","https://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2021/9628/l4950.pdf","Assembleia Legislativa de Rondônia (ALERO)","marco_cti_inovacao","https://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2021/9628/l4950.pdf",3649,"6dd1ebf1b4f67cd7a08c76ffbfc96b4a0d136bf63e98eddd9577d255b089c2f3","ok","Norte","2021"
22,"22_estadual_rs_lei_complementar_no_15_639_2021.txt","estadual","RS","","Lei Complementar nº 15.639/2021","Lei Estadual de Inovação do Rio Grande do Sul","2021-05-31 00:00:00","https://sict.rs.gov.br/upload/arquivos/202106/01142105-lei-n-15-639-de-31-de-maio-de-2021.pdf","Secretaria de inovação, Ciência e Tecnologia do Rio Grande do Sul (SICT-RS)","marco_cti_inovacao","https://sict.rs.gov.br/upload/arquivos/202106/01142105-lei-n-15-639-de-31-de-maio-de-2021.pdf",62032,"6b880babd8f7798fb2e98871bf830bc0c83f2add0c45e35df5441d6e9c3f749c","ok","Sul","2021"
23,"23_estadual_sc_lei_no_14_328_2008.txt","estadual","SC","","Lei nº 14.328/2008","Lei Estadual de Inovação de Santa Catarina","2008-01-15 00:00:00","https://sbpcsc.paginas.ufsc.br/files/2018/02/lei_inovacao.pdf","Universidade Federal de Santa Catarina (UFSC)","marco_cti_inovacao","https://sbpcsc.paginas.ufsc.br/files/2018/02/lei_inovacao.pdf",25481,"b1d64feb3240d97203ff0f650a369e06bd58225eaafd008e6b3f5443d8836692","ok","Sul","2008"
24,"24_estadual_se_lei_no_6_794_2009.txt","estadual","SE","","Lei nº 6.794/2009","Lei Estadual de Inovação de Sergipe","2009-12-02 00:00:00","https://al.se.leg.br/Legislacao/Ordinaria/2009/O67942009.pdf","Assembleia Legislativa de Sergipe (ALESE)","marco_cti_inovacao","https://al.se.leg.br/Legislacao/Ordinaria/2009/O67942009.pdf",44193,"b74ad7444c8fb8323d06a7234fd1ebba7e40a0daa60f0746bbd2c1c0ff555699","ok","Nordeste","2009"
25,"25_estadual_sp_lei_complementar_no_1_049_2008.txt","estadual","SP","","Lei Complementar nº 1.049/2008","Lei Estadual de Inovação de São Paulo","2008-06-19 00:00:00","https://www.al.sp.gov.br/repositorio/legislacao/lei.complementar/2008/lei.complementar-1049-19.06.2008.html","Assembleia Legislativa de São Paulo (ALESP)","marco_cti_inovacao","https://www.al.sp.gov.br/repositorio/legislacao/lei.complementar/2008/lei.complementar-1049-19.06.2008.html",21427,"297495fa9e7092e181a7b5a191f9c16bdb22f2e7f880fedb2f9d46453fb9b303","ok","Sudeste","2008"
26,"26_estadual_to_lei_no_2_458_2011.txt","estadual","TO","","Lei nº 2.458/2011","Lei Estadual de Inovação do Tocantins","2011-07-05 00:00:00","https://www.al.to.leg.br/arquivo/27747","Assembleia Legislativa do Tocantins (ALETO)","marco_cti_inovacao","https://www.al.to.leg.br/arquivos/27747.pdf",29651,"cb6fb1601bee5161149732dae9be9effc3f0aa338c920f9697c2ea99065c5fb0","ok","Norte","2011"
27,"27_federal_br_lei_no_11_196_2005.txt","federal","","","Lei nº 11.196/2005","Lei do Bem","2005-11-21 00:00:00","https://www.planalto.gov.br/ccivil_03/_ato2004-2006/2005/lei/l11196.htm","Presidência da República","marco_cti_inovacao","https://www.planalto.gov.br/ccivil_03/_ato2004-2006/2005/lei/l11196.htm",274363,"a3fedac0a2069912d46935b62a5a70cbd79c0d17624b4599a1785924f89bc3e8","ok","Brasil","2005"
28,"28_federal_br_lei_no_13_243_2016.txt","federal","","","Lei nº 13.243/2016","Marco Legal de Ciência, Tecnologia e Inovação","2016-01-11 00:00:00","https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2016/lei/l13243.htm","Presidência da República","marco_cti_inovacao","https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2016/lei/l13243.htm",45518,"06dc7b4fcefc5ec1f50a7babf2ab3967de682996dfb5707d6abe6d8c42204917","ok","Brasil","2016"
29,"29_federal_br_lei_complementar_no_182_2021.txt","federal","","","Lei Complementar nº 182/2021","Marco Legal de Empreendedorismo Inovador e Startups","2021-06-01 00:00:00","https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp182.htm","Presidência da República","marco_cti_inovacao","https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp182.htm",30133,"459af3eaa2ce6f36ba01c7315716ba576dbbcea239c600770df6ed0f6eb7a690","ok","Brasil","2021"
30,"30_municipal_maceio_lei_no_6_902_2019.txt","municipal","AL","Maceió","Lei nº 6.902/2019","Lei Municipal de Inovação de Maceió","2019-06-26 00:00:00","https://www.maceio.al.leg.br/documentos/docs/doc.php?filepath=leis&id=6590","Câmara Municipal de Maceió","marco_cti_inovacao","https://www.maceio.al.leg.br/documentos/docs/doc.php?filepath=leis&id=6590",49617,"61fb0b201f15794c74e9a0c9cbd18ffbcb921cd845678348f4d815c31a4c28a6","ok","Nordeste","2019"
31,"31_municipal_manaus_lei_no_3_014_2023.txt","municipal","AM","Manaus","Lei nº 3.014/2023","Lei municipal de Fomento às Startups de Manaus","2023-01-11 00:00:00","https://sapl.cmm.am.gov.br/media/sapl/public/normajuridica/2023/6889/lei_n_3014_de_11_jan_2023.pdf","Câmara Municipal de Manaus","fomento_startups","https://sapl.cmm.am.gov.br/media/sapl/public/normajuridica/2023/6889/lei_n_3014_de_11_jan_2023.pdf",14180,"86ce0479893acc42195a2111861bdf279c79061a243a3c2da94c378d133b5ffa","ok","Norte","2023"
32,"32_municipal_macapa_lei_complementar_no_156_2022.txt","municipal","AP","Macapá","Lei complementar nº 156/2022","Lei do Programa Inova Macapá","2022-12-27 00:00:00","https://drive.google.com/file/d/1TyiUN49BDxByWiQaqsYp7c1hzuJ6uAwF/view?usp=sharing","Portal CR2 - Prefeitura de Macapá","programa_inovacao","https://www.legisweb.com.br/legislacao/?id=440743",7249,"898075eb13bec34ff8d822aa81444526cca939bb568531e3a9b7089f09bb0eb9","ok","Norte","2022"
33,"33_municipal_salvador_lei_no_9_534_2020.txt","municipal","BA","Salvador","Lei nº 9.534/2020","Lei Municipal de Inovação de Salvador","2020-08-12 00:00:00","https://www2.sefaz.salvador.ba.gov.br/storage/1945/53iGdw4oFNrlr3JrjDNacZdpgsyUKx-metaOS41MzQgLSBET00gZGUgMTMuMDguMjAyMC5wZGY=-.pdf","Prefeitura de Salvador","marco_cti_inovacao","https://www2.sefaz.salvador.ba.gov.br/storage/1945/53iGdw4oFNrlr3JrjDNacZdpgsyUKx-metaOS41MzQgLSBET00gZGUgMTMuMDguMjAyMC5wZGY=-.pdf",61346,"3cafff1e650b902d731a76b93ac3cc4e6ada7f13915447712754fbf91ee9d658","ok","Nordeste","2020"
